화면 구분,기능 구분,화면명/경로,주요 기능(컴포넌트/버튼),기능 흐름/상태,정책/유의사항,입력/출력 데이터 구조
1. 회원가입/로그인,회원가입,/auth/join,"회원유형 선택(프리랜서/고객), 이메일/휴대폰 입력, 인증번호 요청/입력, 이름, 비밀번호, 생년월일, 성별, SNS로그인(카카오/네이버/구글), 약관동의, 가입완료","1. 유형 선택 → 2. 본인인증 → 3. 정보입력 → 4. 완료(비동기 검증, 중복확인)","중복 가입 방지, 실명인증(외부 본인인증), 14세 미만 제한","{type, email/phone, password, name, birth, gender, agree_terms}"
1. 회원가입/로그인,로그인,/auth/login,"이메일/휴대폰+비밀번호 입력, SNS 로그인, 비밀번호 찾기, 로그인유지",1. 입력 → 2. 인증 → 3. 메인 이동(실패시 에러),"5회이상 실패시 캡챠/잠금, 토큰기반 로그인","{id, password, sns_token, remember}"
1. 회원가입/로그인,비밀번호 찾기/재설정,/auth/reset,"이메일/휴대폰 입력, 인증번호, 새 비밀번호 입력",1. 정보입력 → 2. 인증 → 3. 비번재설정,"비밀번호 정책(8자, 특수문자 등)","{id, new_password, cert_code}"
2. 프로필(프리랜서/고객),프리랜서 프로필 등록/수정,/profile/edit,"사진 업로드, 이름, 연락처, 지역(주소/지도), 성별/연령대, 전문분야(다중선택), 경력기간, 자격증 첨부, 자기소개, 서비스가능시간, 희망급여, 저장",1. 정보입력→임시저장/완료(미완성시 매칭제한),"사진규격, 파일용량, 필수/선택 구분","{photo, name, phone, region, gender, age, field[], career_year, cert_files[], intro, available_time[], pay_type, pay_amount}"
2. 프로필(프리랜서/고객),고객 프로필 등록/수정,/profile/edit,"이름, 연락처, 지역, 이용목적, 알림설정, 저장",1. 정보입력→저장/완료,필수/선택 구분,"{name, phone, region, purpose, alarm_setting}"
2. 프로필(프리랜서/고객),경력·자격 인증 업로드,/profile/certificate,"경력/자격증 파일첨부(다중), 제목/설명, 미리보기/삭제, 제출/임시저장, 인증상태 표시",1. 파일첨부→설명→제출/임시저장→승인대기,"파일형식/용량제한, 임시저장","{cert_type, file, title, desc, status}"
2. 프로필(프리랜서/고객),프로필 보기,/profile/view,"프로필정보 요약/상세, 인증뱃지, 서비스내역/평점, 리뷰리스트, 수정 바로가기","1. 요약→상세, 상태별 뱃지","미인증 시 제한, 후기 노출 정책","{all_profile_info, review_list, badge_status}"
3. 의뢰/매칭,의뢰 등록,/request/new,"서비스분야 선택, 상세내용, 희망조건, 지역, 일정, 요청시간대, 특이사항, 임시저장/등록",1. 입력→임시저장/등록(임시저장→이력관리),"최소 필수정보, 데이터검증","{type, detail, hope_cond, region, schedule, time, special_note, files[]}"
3. 의뢰/매칭,의뢰 관리,"/request/list, /request/detail","내 의뢰 현황(리스트/상세), 진행상태(매칭대기/진행중/완료/취소), 수정/삭제, 매칭이력",1. 목록→상세/수정/삭제(상태별제한),진행중/완료시 수정/삭제제한,"{request_list, status, matched_freelancers[]}"
3. 의뢰/매칭,프리랜서 리스트/검색,/freelancer/search,"필터(분야,지역,경력,인증,평점), 정렬, 간략/상세프로필",1. 필터/정렬→상세조회,비노출 항목/우선순위 정책,"{search_filter, freelancer_list}"
